Country Name,Country Code,Population (2021)
Small states,SST,42792053
Sao Tome and Principe,STP,223107
Suriname,SUR,612985
Slovak Republic,SVK,5447247
Slovenia,SVN,2108079
Sweden,SWE,10415811
Eswatini,SWZ,1192271
Sint Maarten (Dutch part),SXM,42846
Seychelles,SYC,99258
Syrian Arab Republic,SYR,21324367
Turks and Caicos Islands,TCA,45114
Chad,TCD,17179740
East Asia & Pacific (IDA & IBRD countries),TEA,2097669023
Europe & Central Asia (IDA & IBRD countries),TEC,462341222
Togo,TGO,8644829
Thailand,THA,71601103
Tajikistan,TJK,9750064
Turkmenistan,TKM,6341855
Latin America & the Caribbean (IDA & IBRD countries),TLA,639188695
Timor-Leste,TLS,1320942
Middle East & North Africa (IDA & IBRD countries),TMN,413124452
Tonga,TON,106017
South Asia (IDA & IBRD),TSA,1901911604
Sub-Saharan Africa (IDA & IBRD countries),TSS,1181162739
Trinidad and Tobago,TTO,1525663
Tunisia,TUN,12262946
Turkiye,TUR,84775404
Tuvalu,TUV,11204
Tanzania,TZA,63588334
Uganda,UGA,45853778
Ukraine,UKR,43792855
Upper middle income,UMC,2503136362
Uruguay,URY,3426260
United States,USA,331893745
Uzbekistan,UZB,34915100
St. Vincent and the Grenadines,VCT,104332
"Venezuela, RB",VEN,28199867
British Virgin Islands,VGB,31122
Virgin Islands (U.S.),VIR,105870
Vietnam,VNM,97468029
Vanuatu,VUT,319137
World,WLD,7888408686
Samoa,WSM,218764
Kosovo,XKX,1786038
"Yemen, Rep.",YEM,32981641
South Africa,ZAF,59392255
Zambia,ZMB,19473125
Zimbabwe,ZWE,15993524
